time,rnti,tbs_dl,tbs_ul,series_id
17:48:22.000000,"0x3ae4,",0.0,22.0,192.0
17:48:23.000000,"0x3ae4,",11.0,22.0,192.0
17:48:23.000000,"0x3ae4,",0.0,22.0,192.0
17:48:25.000000,"0x3ae4,",11.0,22.0,193.0
17:48:25.000000,"0x3ae4,",0.0,22.0,193.0
17:48:26.000000,"0x3ae4,",11.0,22.0,193.0
17:48:26.000000,"0x3ae4,",0.0,22.0,193.0
17:48:27.000000,"0x3ae4,",11.0,22.0,193.0
17:48:27.000000,"0x3ae4,",0.0,22.0,193.0
17:48:28.000000,"0x3ae4,",11.0,22.0,193.0
17:48:28.000000,"0x3ae4,",0.0,22.0,193.0
17:48:29.000000,"0x3ae4,",11.0,22.0,193.0
17:48:29.000000,"0x3ae4,",0.0,22.0,193.0
17:48:30.000000,"0x3ae4,",11.0,22.0,193.0
17:48:30.000000,"0x3ae4,",0.0,22.0,193.0
17:48:31.000000,"0x3ae4,",11.0,22.0,193.0
17:48:31.000000,"0x3ae4,",0.0,22.0,193.0
17:48:32.000000,"0x3ae4,",11.0,22.0,193.0
17:48:32.000000,"0x3ae4,",0.0,22.0,193.0
17:48:33.000000,"0x3ae4,",11.0,22.0,193.0
17:48:33.000000,"0x3ae4,",0.0,22.0,193.0
17:48:34.000000,"0x3ae4,",11.0,22.0,193.0
17:48:34.000000,"0x3ae4,",0.0,22.0,193.0
17:48:35.000000,"0x3ae4,",11.0,22.0,193.0
17:48:35.000000,"0x3ae4,",0.0,22.0,193.0
17:48:36.000000,"0x3ae4,",11.0,22.0,193.0
17:48:36.000000,"0x3ae4,",0.0,22.0,193.0
17:48:37.000000,"0x3ae4,",11.0,22.0,193.0
17:48:37.000000,"0x3ae4,",0.0,22.0,193.0
17:48:38.000000,"0x3ae4,",11.0,22.0,193.0
17:48:38.000000,"0x3ae4,",0.0,22.0,193.0
17:48:39.000000,"0x3ae4,",11.0,22.0,193.0
17:48:39.000000,"0x3ae4,",0.0,22.0,193.0
17:48:40.000000,"0x3ae4,",11.0,22.0,193.0
17:48:40.000000,"0x3ae4,",0.0,22.0,193.0
17:48:41.000000,"0x3ae4,",11.0,22.0,193.0
17:48:41.000000,"0x3ae4,",0.0,22.0,193.0
17:48:42.000000,"0x3ae4,",11.0,22.0,193.0
17:48:42.000000,"0x3ae4,",0.0,22.0,193.0
17:48:43.000000,"0x3ae4,",11.0,22.0,193.0
17:48:43.000000,"0x3ae4,",0.0,22.0,193.0
17:48:44.000000,"0x3ae4,",11.0,22.0,193.0
17:48:44.000000,"0x3ae4,",0.0,22.0,193.0
17:48:45.000000,"0x3ae4,",11.0,22.0,193.0
17:48:45.000000,"0x3ae4,",0.0,22.0,193.0
17:48:46.000000,"0x3ae4,",11.0,22.0,193.0
17:48:46.000000,"0x3ae4,",0.0,22.0,193.0
17:48:47.000000,"0x3ae4,",11.0,22.0,193.0
17:48:47.000000,"0x3ae4,",0.0,22.0,193.0
17:48:48.000000,"0x3ae4,",11.0,22.0,193.0
17:48:48.000000,"0x3ae4,",0.0,22.0,193.0
17:48:49.000000,"0x3ae4,",11.0,22.0,193.0
17:48:49.000000,"0x3ae4,",0.0,22.0,193.0
17:48:50.000000,"0x3ae4,",11.0,22.0,193.0
17:48:50.000000,"0x3ae4,",0.0,22.0,193.0
17:48:51.000000,"0x3ae4,",11.0,22.0,193.0
17:48:51.000000,"0x3ae4,",0.0,22.0,193.0
17:48:52.000000,"0x3ae4,",11.0,22.0,193.0
17:48:52.000000,"0x3ae4,",0.0,22.0,193.0
17:48:53.000000,"0x3ae4,",11.0,22.0,193.0
17:48:53.000000,"0x3ae4,",0.0,22.0,193.0
17:48:55.000000,"0x3ae4,",11.0,22.0,194.0
17:48:55.000000,"0x3ae4,",0.0,22.0,194.0
17:48:56.000000,"0x3ae4,",11.0,22.0,194.0
17:48:56.000000,"0x3ae4,",0.0,22.0,194.0
17:48:57.000000,"0x3ae4,",11.0,22.0,194.0
